314,「～は」いかがですか。,,你覺得「~」怎麼樣？,7,Que pense-tu de ~,,,,5
315,いただきます,,謝謝 / 我不客氣了。 （用在吃，喝前）,7,Bonne appétit. (Formule de politesse avant le repas),,,,5
316,りょこう,旅行,旅行,7,voyage,un,,travel,5
317,おみやげ,お土産,土產， 紀念品,7,"produit local, souvenir","un,un",,souvenir,5
318,ハンサム「な」,,"英俊「的」, 帥的",8,beau ( homme),,4,,5
319,きれい「な」,,美麗「的」，乾淨「的」，漂亮的,8,"beau (chose), belle (femme)",,4,"pretty, clean",5
320,しずか,静か,安靜「的」,8,calme,,,quiet,5
321,にぎやか「な」,,熱鬧「的」,8,animé,,,,5
322,ゆうめい「な」,有名,有名「的」,8,connu,,,famous,5
323,しんせつ「な」,親切,親切「的」,8,"gentil, aimable, bon",,,kindness,5
324,げんき「な」,,身體好「的」， 健康「的」,8,"en forme, en bonne santé",,4,,5
325,ひま「な」,,空閒「的」,8,libre (non occupé),,,,5
326,べんり「な」,,方便「的」,8,pratique,,,convenient,5
327,すてき「な」,,很好「的」， 很棒,8,"très bien, super",,,,5
328,おおきい,大きい,大,8,grand,,,big,5
329,ちいさい,小さい,小,8,petit,,,little,5
330,あたらしい,新しい,新,8,"nouveau, neuf",,,new,5
331,ふるい,古い,舊,8,vieux,,,old (not used for people),5
332,いい,,好,8,bien,,,,5
333,わるい,悪い,壞,8,mauvais,,,"hateful, abominable, poor-looking",5
334,あつい,熱い,熱,8,chaud,,,hot to the touch,5
335,さむい,寒い,寒冷,8,froid,,,cold,5
336,つめたい,冷たい,涼,8,frais,,,cold to the touch,5
337,むずかしい,難しい,難,8,compliqué,,,difficult,5
338,やさしい,易しい,容易， 簡單,8,facile,,,"easy, simple",5
339,たかい,高い,高， 貴,8,"haut, cher",,,"tall, expensive",5
340,やすい,安い,便宜,8,bon marché,,0,cheap,5
341,ひくい,低い,低， 矮,8,"petit, bas",,,"short,low",5
342,おもしろい,,有趣， 有意思,8,interessant,,,interesting,5
343,おいしい,,美味， 好吃,8,"bon à manger, délicieux",,,delicious,5
344,いそがしい,,忙祿,8,occupé,,,,5
345,たのしい,楽しい,愉快， 高興,8,"content, heureux",,,enjoyable,5
346,しろい,白い,白色的,8,blanc,,17,white,5
347,くろい,黒い,黑色的,8,noir,,17,black,5
